"","model","I1","I2","I3","I4","I5","seI1","seI2","seI3","seI4","seI5","B1","B2","B3","B4","B5","se1","se2","se3","se4","se5","Wt1","Wt2","Wt3","Wt4","Wt5","sew1","sew2","sew3","sew4","sew5","M1","seM1"
"1","basecase",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.71,1.39,2.79,2.979,1.51,0.096124962,0.158686546,0.253831132,0.318048866,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.15,0.15,0.05,0,0.04,0
"2","becover150",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.67,1.39,2.79,2.979,1.51,0.041664555,0.158686546,0.253831132,0.318048866,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
"3","becbelow150",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.87,1.39,2.79,2.979,1.51,0.029020124,0.158686546,0.253831132,0.318048866,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
"22","becover150_lowdose",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.67,1.39,2.438,1.322,1.51,0.041664555,0.158686546,0.415015702,0.318048866,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
"23","becbelow150_lowdose",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.87,1.39,2.438,1.322,1.51,0.029020124,0.158686546,0.415015702,0.318048866,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
"24","becover150_moddose",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.67,1.39,3.07,4.432,1.51,0.041664555,0.158686546,0.415015702,0.347166863,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
"25","becbelow150_moddose",0,0.03011,0.0275,0.01,0.054,0.05,0.134355454,0.066354272,0.417757344,0.240461235,0.87,1.39,3.07,4.432,1.51,0.029020124,0.158686546,0.415015702,0.347166863,0.280942288,0.275,0.5,0.1,0.1,0,0.15,0.05,0.05,0.05,0,0.04,0
